filename,class,algorithm,seed_ok,seed_argb,chroma,muddy,pre_contrast_light,pre_contrast_dark,light_primary,light_on_primary,light_container,light_on_container,dark_primary,dark_on_primary,dark_container,dark_on_container
anime_ks11469.png,busy,sampler,1,#FF7D714D,48,0,3.7342,1.8778,#FF6B6142,#FFFFFFFF,#FFE4E2DC,#FF000000,#FF999074,#FF000000,#FFA9A18A,#FF000000
anime_ks11469.png,busy,palette,1,#FF101820,16,1,12.0558,3.0893,#FF0D141B,#FFFFFFFF,#FFD3D4D5,#FF000000,#FF444A51,#FFFFFFFF,#FF61666C,#FFFFFFFF
anime_ks11614.jpg,flat,sampler,1,#FF3684AF,121,0,3.2246,1.7236,#FF2E7196,#FFFFFFFF,#FFD9E5EC,#FF000000,#FF629FC0,#FF000000,#FF7BAECA,#FF000000
anime_ks11614.jpg,flat,palette,1,#FF0068A8,168,0,4.4227,1.9461,#FF005990,#FFFFFFFF,#FFD1E1EB,#FF000000,#FF3889BB,#FF000000,#FF579BC5,#FF000000
anime_ks12.png,busy,sampler,1,#FF92715D,53,0,3.446,1.7955,#FF7D614F,#FFFFFFFF,#FFE7E2DF,#FF000000,#FFA99080,#FF000000,#FFB6A194,#FF000000
anime_ks12.png,busy,palette,1,#FF303860,48,0,8.0153,2.7114,#FF293052,#FFFFFFFF,#FFD8D9DF,#FF000000,#FF5D6382,#FFFFFFFF,#FF767B96,#FF000000
anime_ks12268.jpg,busy,sampler,1,#FF867372,20,1,3.4633,1.8078,#FF736262,#FFFFFFFF,#FFE5E2E2,#FF000000,#FFA09191,#FF000000,#FFAFA2A2,#FF000000
anime_ks12268.jpg,busy,palette,1,#FFB8A8D0,40,0,1.8591,1.3304,#FF9E90B2,#FF000000,#FFEDEBF1,#FF000000,#FFC7BBDA,#FF000000,#FFCFC5DF,#FF000000
anime_ks13569.jpg,flat,sampler,1,#FF685D4C,28,0,4.8455,2.1453,#FF594F41,#FFFFFFFF,#FFE1DFDC,#FF000000,#FF898073,#FF000000,#FF9B9489,#FF000000
anime_ks13569.jpg,flat,palette,1,#FF605840,32,0,5.2568,2.2253,#FF524B37,#FFFFFFFF,#FFDFDEDA,#FF000000,#FF827C6A,#FF000000,#FF969081,#FF000000
anime_ks1376.png,flat,sampler,1,#FF2D3538,11,1,8.8303,2.8763,#FF262D30,#FFFFFFFF,#FFD7D9D9,#FF000000,#FF5B6163,#FFFFFFFF,#FF757A7B,#FF000000
anime_ks1376.png,flat,palette,1,#FF102028,24,0,11.3309,3.0905,#FF0D1B22,#FFFFFFFF,#FFD3D5D7,#FF000000,#FF445157,#FFFFFFFF,#FF616C71,#FFFFFFFF
anime_ks13881.jpg,busy,sampler,1,#FF6E635C,18,1,4.431,2.0506,#FF5E554F,#FFFFFFFF,#FFE2E0DF,#FF000000,#FF8D857F,#FF000000,#FF9F9893,#FF000000
anime_ks13881.jpg,busy,palette,1,#FF201818,8,1,11.7795,3.0948,#FF1B1414,#FFFFFFFF,#FFD5D4D4,#FF000000,#FF514A4A,#FFFFFFFF,#FF6C6666,#FFFFFFFF
anime_ks1555.jpg,flat,sampler,1,#FF978A7A,29,0,2.7051,1.5941,#FF817668,#FF000000,#FFE8E6E3,#FF000000,#FFADA397,#FF000000,#FFBAB1A7,#FF000000
anime_ks1555.jpg,flat,palette,1,#FFD8D8D0,8,1,1.2794,1.1234,#FFB9B9B2,#FF000000,#FFF2F2F1,#FF000000,#FFE0E0DA,#FF000000,#FFE4E4DF,#FF000000
anime_ks176.jpg,flat,sampler,1,#FF7F8C94,21,1,2.7579,1.6233,#FF6D787F,#FF000000,#FFE4E6E7,#FF000000,#FF9BA5AB,#FF000000,#FFABB3B8,#FF000000
anime_ks176.jpg,flat,palette,1,#FF68A0E0,120,0,2.2294,1.4456,#FF5989C0,#FF000000,#FFE1E9F3,#FF000000,#FF89B4E6,#FF000000,#FF9BC0EA,#FF000000
anime_ks3532.jpg,flat,sampler,1,#FF736D6F,6,1,3.8838,1.9303,#FF625D5F,#FFFFFFFF,#FFE2E1E2,#FF000000,#FF918D8E,#FF000000,#FFA29FA0,#FF000000
anime_ks3532.jpg,flat,palette,1,#FF202028,8,1,11.0331,3.0963,#FF1B1B22,#FFFFFFFF,#FFD5D5D7,#FF000000,#FF515157,#FFFFFFFF,#FF6C6C71,#FFFFFFFF
anime_ks3936.png,busy,sampler,1,#FF76737C,9,1,3.6035,1.8463,#FF65626A,#FFFFFFFF,#FFE3E2E4,#FF000000,#FF949198,#FF000000,#FFA5A2A8,#FF000000
anime_ks3936.png,busy,palette,1,#FF202030,16,1,10.9396,3.0856,#FF1B1B29,#FFFFFFFF,#FFD5D5D8,#FF000000,#FF51515D,#FFFFFFFF,#FF6C6C76,#FFFFFFFF
anime_ks395.jpg,flat,sampler,1,#FF6F8972,26,0,3.029,1.6784,#FF5F7562,#FFFFFFFF,#FFE2E6E2,#FF000000,#FF8EA291,#FF000000,#FFA0B0A2,#FF000000
anime_ks395.jpg,flat,palette,1,#FF384048,16,1,7.5247,2.6698,#FF30373D,#FFFFFFFF,#FFD9DADC,#FF000000,#FF636A70,#FFFFFFFF,#FF7B8186,#FF000000
anime_ks41370.jpg,flat,sampler,1,#FF262731,11,1,10.2832,3.0469,#FF20212A,#FFFFFFFF,#FFD6D7D8,#FF000000,#FF55565E,#FFFFFFFF,#FF707177,#FFFFFFFF
anime_ks41370.jpg,flat,palette,1,#FF101828,24,0,11.9734,3.0822,#FF0D1422,#FFFFFFFF,#FFD3D4D7,#FF000000,#FF444A57,#FFFFFFFF,#FF616671,#FFFFFFFF
anime_ks41982.jpg,busy,sampler,1,#FF8A6653,55,0,3.9139,1.9182,#FF765747,#FFFFFFFF,#FFE6E0DD,#FF000000,#FFA38778,#FF000000,#FFB19A8D,#FF000000
anime_ks41982.jpg,busy,palette,1,#FF281818,16,1,11.5533,3.0748,#FF221414,#FFFFFFFF,#FFD7D4D4,#FF000000,#FF574A4A,#FFFFFFFF,#FF716666,#FFFFFFFF
anime_ks42422.png,flat,sampler,1,#FF5C5439,35,0,5.6026,2.3006,#FF4F4831,#FFFFFFFF,#FFDFDED9,#FF000000,#FF7F7964,#FF000000,#FF938E7C,#FF000000
anime_ks42422.png,flat,palette,1,#FF202018,8,1,11.1595,3.1022,#FF1B1B14,#FFFFFFFF,#FFD5D5D4,#FF000000,#FF51514A,#FFFFFFFF,#FF6C6C66,#FFFFFFFF
anime_ks6448.png,busy,sampler,1,#FF878786,1,1,2.8546,1.6567,#FF747473,#FFFFFFFF,#FFE5E5E5,#FF000000,#FFA1A1A0,#FF000000,#FFB0B0AF,#FF000000
anime_ks6448.png,busy,palette,1,#FFD0D8D8,8,1,1.2916,1.1283,#FFB2B9B9,#FF000000,#FFF1F2F2,#FF000000,#FFDAE0E0,#FF000000,#FFDFE4E4,#FF000000
anime_ks7442.jpg,flat,sampler,1,#FF7E5539,69,0,4.8525,2.135,#FF6C4931,#FFFFFFFF,#FFE4DED9,#FF000000,#FF9A7A64,#FF000000,#FFAA8F7C,#FF000000
anime_ks7442.jpg,flat,palette,1,#FF280800,40,0,12.4705,2.9962,#FF220600,#FFFFFFFF,#FFD7D2D1,#FF000000,#FF573E38,#FFFFFFFF,#FF715C57,#FFFFFFFF
anime_ks7881.jpg,flat,sampler,1,#FF768B90,26,0,2.8535,1.6425,#FF65777B,#FFFFFFFF,#FFE3E6E7,#FF000000,#FF94A4A8,#FF000000,#FFA5B2B5,#FF000000
anime_ks7881.jpg,flat,palette,1,#FF88B8C0,56,0,1.8294,1.3174,#FF749EA5,#FF000000,#FFE5EDEE,#FF000000,#FFA2C7CD,#FF000000,#FFB0CFD5,#FF000000
anime_ks8271.jpg,flat,sampler,1,#FF465554,15,1,5.7724,2.3502,#FF3C4948,#FFFFFFFF,#FFDBDEDE,#FF000000,#FF6E7A79,#FF000000,#FF858F8E,#FF000000
anime_ks8271.jpg,flat,palette,1,#FF182020,8,1,11.2753,3.1008,#FF141B1B,#FFFFFFFF,#FFD4D5D5,#FF000000,#FF4A5151,#FFFFFFFF,#FF666C6C,#FFFFFFFF
anime_ks8403.jpg,flat,sampler,1,#FF9C8361,59,0,2.8715,1.6427,#FF867053,#FFFFFFFF,#FFE9E5E0,#FF000000,#FFB19E83,#FF000000,#FFBDAD96,#FF000000
anime_ks8403.jpg,flat,palette,1,#FFF8F0E0,24,0,1.0485,1.0337,#FFD5CEC0,#FF000000,#FFF7F6F3,#FF000000,#FFF9F3E6,#FF000000,#FFF9F4EA,#FF000000
anime_ks8671.jpg,busy,sampler,1,#FF907967,41,0,3.2173,1.738,#FF7B6858,#FFFFFFFF,#FFE7E3E0,#FF000000,#FFA89688,#FF000000,#FFB5A69B,#FF000000
anime_ks8671.jpg,busy,palette,1,#FF202020,0,1,11.1009,3.1029,#FF1B1B1B,#FFFFFFFF,#FFD5D5D5,#FF000000,#FF515151,#FFFFFFFF,#FF6C6C6C,#FFFFFFFF
anime_ks8699.jpg,busy,sampler,1,#FF988384,21,1,2.8353,1.636,#FF827071,#FFFFFFFF,#FFE8E5E5,#FF000000,#FFAE9E9F,#FF000000,#FFBAADAE,#FF000000
anime_ks8699.jpg,busy,palette,1,#FF281820,16,1,11.4901,3.0757,#FF22141B,#FFFFFFFF,#FFD7D4D5,#FF000000,#FF574A51,#FFFFFFFF,#FF71666C,#FFFFFFFF
anime_ks9967.jpg,flat,sampler,1,#FFD0C8C9,8,1,1.4438,1.187,#FFB2ACAC,#FF000000,#FFF1F0F0,#FF000000,#FFDAD4D4,#FF000000,#FFDFDADA,#FF000000
anime_ks9967.jpg,flat,palette,1,#FF404050,16,1,7.2822,2.6347,#FF373744,#FFFFFFFF,#FFDADADD,#FF000000,#FF6A6A76,#FFFFFFFF,#FF81818B,#FF000000
novel_ks10022.jpg,flat,sampler,1,#FF807381,14,1,3.4771,1.8109,#FF6E626E,#FFFFFFFF,#FFE4E2E4,#FF000000,#FF9B919C,#FF000000,#FFABA2AB,#FF000000
novel_ks10022.jpg,flat,palette,1,#FF606880,32,0,4.2299,1.9987,#FF52596E,#FFFFFFFF,#FFDFE1E4,#FF000000,#FF82899B,#FF000000,#FF969BAB,#FF000000
novel_ks15364.jpg,flat,sampler,1,#FFC2C1C2,1,1,1.5469,1.2262,#FFA6A5A6,#FF000000,#FFEEEEEE,#FF000000,#FFCFCECF,#FF000000,#FFD6D5D6,#FF000000
novel_ks15364.jpg,flat,palette,1,#FF201820,8,1,11.7134,3.0956,#FF1B141B,#FFFFFFFF,#FFD5D4D5,#FF000000,#FF514A51,#FFFFFFFF,#FF6C666C,#FFFFFFFF
novel_ks16462.jpg,busy,sampler,1,#FF9DAAB4,23,1,1.9858,1.3739,#FF87929A,#FF000000,#FFE9EBEC,#FF000000,#FFB2BCC4,#FF000000,#FFBEC6CD,#FF000000
novel_ks16462.jpg,busy,palette,1,#FFA0B0C8,40,0,1.8578,1.3316,#FF8997AC,#FF000000,#FFE9ECF0,#FF000000,#FFB4C1D4,#FF000000,#FFC0CADA,#FF000000
novel_ks18471.jpg,flat,sampler,1,#FFBAAFA2,24,0,1.8259,1.3272,#FF9F968B,#FF000000,#FFEDECEA,#FF000000,#FFC9C0B6,#FF000000,#FFD1CAC1,#FF000000
novel_ks18471.jpg,flat,palette,1,#FFE0E0E8,8,1,1.1838,1.0948,#FFC0C0C7,#FF000000,#FFF3F3F4,#FF000000,#FFE6E6ED,#FF000000,#FFEAEAEF,#FF000000
novel_ks19240.jpg,flat,sampler,1,#FF9FAECC,45,0,1.8729,1.3446,#FF8895AF,#FF000000,#FFE9EBF0,#FF000000,#FFB4BFD7,#FF000000,#FFC0C9DD,#FF000000
novel_ks19240.jpg,flat,palette,1,#FFE8F0F8,16,1,1.0614,1.0399,#FFC7CED5,#FF000000,#FFF4F6F7,#FF000000,#FFEDF3F9,#FF000000,#FFEFF4F9,#FF000000
novel_ks20055.jpg,flat,sampler,1,#FFC49543,129,0,2.2305,1.4438,#FFA88039,#FF000000,#FFEFE8DB,#FF000000,#FFD0AC6C,#FF000000,#FFD7B983,#FF000000
novel_ks20055.jpg,flat,palette,1,#FFD8A038,160,0,1.9359,1.3464,#FFB98930,#FF000000,#FFF2E9D9,#FF000000,#FFE0B463,#FF000000,#FFE4C07B,#FF000000
novel_ks23343.jpg,flat,sampler,1,#FFC1A4B7,29,0,1.9033,1.3536,#FFA58D9D,#FF000000,#FFEEEAED,#FF000000,#FFCEB8C6,#FF000000,#FFD5C3CF,#FF000000
novel_ks23343.jpg,flat,palette,1,#FFE0D8E0,8,1,1.2481,1.1139,#FFC0B9C0,#FF000000,#FFF3F2F3,#FF000000,#FFE6E0E6,#FF000000,#FFEAE4EA,#FF000000
novel_ks26168.jpg,busy,sampler,1,#FFB7958C,43,0,2.2475,1.4619,#FF9D8078,#FF000000,#FFEDE8E6,#FF000000,#FFC6ACA5,#FF000000,#FFCFB9B3,#FF000000
novel_ks26168.jpg,busy,palette,1,#FF201818,8,1,11.7795,3.0948,#FF1B1414,#FFFFFFFF,#FFD5D4D4,#FF000000,#FF514A4A,#FFFFFFFF,#FF6C6666,#FFFFFFFF
novel_ks26178.jpg,flat,sampler,1,#FFD0CDCB,5,1,1.3906,1.1764,#FFB2B0AE,#FF000000,#FFF1F0F0,#FF000000,#FFDAD8D6,#FF000000,#FFDFDEDC,#FF000000
novel_ks26178.jpg,flat,palette,1,#FFE8E8E8,0,1,1.114,1.0656,#FFC7C7C7,#FF000000,#FFF4F4F4,#FF000000,#FFEDEDED,#FF000000,#FFEFEFEF,#FF000000
novel_ks26774.jpg,flat,sampler,1,#FF9AA3A8,14,1,2.1276,1.4259,#FF848C90,#FF000000,#FFE8EAEB,#FF000000,#FFB0B7BB,#FF000000,#FFBCC2C5,#FF000000
novel_ks26774.jpg,flat,palette,1,#FF4888B8,112,0,3.001,1.6623,#FF3D749E,#FFFFFFFF,#FFDCE5ED,#FF000000,#FF70A2C7,#FF000000,#FF86B0CF,#FF000000
novel_ks26852.jpg,flat,sampler,1,#FF402F23,29,0,8.9603,2.8807,#FF37281E,#FFFFFFFF,#FFDAD8D6,#FF000000,#FF6A5C53,#FFFFFFFF,#FF81766E,#FF000000
novel_ks26852.jpg,flat,palette,1,#FF181010,8,1,12.5467,3.0769,#FF140D0D,#FFFFFFFF,#FFD4D3D3,#FF000000,#FF4A4444,#FFFFFFFF,#FF666161,#FFFFFFFF
novel_ks26999.jpg,busy,sampler,1,#FFDB9A57,132,0,1.9805,1.3635,#FFBC844A,#FF000000,#FFF2E8DE,#FF000000,#FFE2B07B,#FF000000,#FFE6BC90,#FF000000
novel_ks26999.jpg,busy,palette,1,#FFF0A048,168,0,1.7918,1.2955,#FFCE893D,#FF000000,#FFF6E9DC,#FF000000,#FFF3B470,#FF000000,#FFF4C086,#FF000000
novel_ks3572.jpeg,flat,sampler,1,#FF747B6E,13,1,3.4221,1.8036,#FF63695E,#FFFFFFFF,#FFE2E4E2,#FF000000,#FF92988D,#FF000000,#FFA3A89F,#FF000000
novel_ks3572.jpeg,flat,palette,1,#FF181820,8,1,11.9105,3.0933,#FF14141B,#FFFFFFFF,#FFD4D4D5,#FF000000,#FF4A4A51,#FFFFFFFF,#FF66666C,#FFFFFFFF
novel_ks35736.png,flat,sampler,1,#FF837C8F,19,1,3.1618,1.7246,#FF706A7A,#FFFFFFFF,#FFE5E4E7,#FF000000,#FF9E98A7,#FF000000,#FFADA8B5,#FF000000
novel_ks35736.png,flat,palette,1,#FFD8F0F0,24,0,1.0933,1.0512,#FFB9CECE,#FF000000,#FFF2F6F6,#FF000000,#FFE0F3F3,#FF000000,#FFE4F4F4,#FF000000
novel_ks36702.jpg,busy,sampler,1,#FF878280,7,1,3.0099,1.6866,#FF746F6E,#FFFFFFFF,#FFE5E5E4,#FF000000,#FFA19D9B,#FF000000,#FFB0ACAB,#FF000000
novel_ks36702.jpg,busy,palette,1,#FFF0F0F0,0,1,1.0545,1.0361,#FFCECECE,#FF000000,#FFF6F6F6,#FF000000,#FFF3F3F3,#FF000000,#FFF4F4F4,#FF000000
novel_ks38138.jpg,busy,sampler,1,#FFAA9D59,81,0,2.2463,1.4558,#FF92874C,#FF000000,#FFEBE9DE,#FF000000,#FFBCB27D,#FF000000,#FFC6BE91,#FF000000
novel_ks38138.jpg,busy,palette,1,#FFF8F048,176,0,1.0924,1.0435,#FFD5CE3D,#FF000000,#FFF7F6DC,#FF000000,#FFF9F370,#FF000000,#FFF9F486,#FF000000
novel_ks38142.jpg,flat,sampler,1,#FFD3D6BE,24,0,1.3215,1.1498,#FFB5B8A3,#FF000000,#FFF1F2EE,#FF000000,#FFDCDFCC,#FF000000,#FFE1E4D4,#FF000000
novel_ks38142.jpg,flat,palette,1,#FFB0C8A8,32,0,1.5617,1.229,#FF97AC90,#FF000000,#FFECF0EB,#FF000000,#FFC1D4BB,#FF000000,#FFCADAC5,#FF000000
novel_ks52286.jpg,flat,sampler,1,#FFEDEDED,0,1,1.0738,1.0458,#FFCBCBCB,#FF000000,#FFF5F5F5,#FF000000,#FFF0F0F0,#FF000000,#FFF2F2F2,#FF000000
novel_ks52286.jpg,flat,palette,1,#FFF0F0F0,0,1,1.0545,1.0361,#FFCECECE,#FF000000,#FFF6F6F6,#FF000000,#FFF3F3F3,#FF000000,#FFF4F4F4,#FF000000
novel_ks5927.jpg,busy,sampler,1,#FFD1AAB3,39,0,1.7637,1.2974,#FFB39299,#FF000000,#FFF1EBEC,#FF000000,#FFDBBCC3,#FF000000,#FFE0C6CC,#FF000000
novel_ks5927.jpg,busy,palette,1,#FFE0D0D8,16,1,1.3167,1.1403,#FFC0B2B9,#FF000000,#FFF3F1F2,#FF000000,#FFE6DAE0,#FF000000,#FFEADFE4,#FF000000
novel_ks6620.jpg,flat,sampler,1,#FFB6B1B1,5,1,1.7967,1.3173,#FF9C9898,#FF000000,#FFEDECEC,#FF000000,#FFC6C2C2,#FF000000,#FFCFCBCB,#FF000000
novel_ks6620.jpg,flat,palette,1,#FFE8E8E8,0,1,1.114,1.0656,#FFC7C7C7,#FF000000,#FFF4F4F4,#FF000000,#FFEDEDED,#FF000000,#FFEFEFEF,#FF000000
novel_ks7109.jpg,flat,sampler,1,#FF9CA9AB,15,1,2.0224,1.3801,#FF869193,#FF000000,#FFE9EBEB,#FF000000,#FFB1BBBD,#FF000000,#FFBDC5C7,#FF000000
novel_ks7109.jpg,flat,palette,1,#FFC0E0D0,32,0,1.264,1.1248,#FFA5C0B2,#FF000000,#FFEEF3F1,#FF000000,#FFCDE6DA,#FF000000,#FFD5EADF,#FF000000
novel_ks8132.jpg,flat,sampler,1,#FF9D9886,23,1,2.3577,1.4901,#FF878273,#FF000000,#FFE9E8E5,#FF000000,#FFB2AEA0,#FF000000,#FFBEBAAF,#FF000000
novel_ks8132.jpg,flat,palette,1,#FFE0E0E0,0,1,1.1897,1.0973,#FFC0C0C0,#FF000000,#FFF3F3F3,#FF000000,#FFE6E6E6,#FF000000,#FFEAEAEA,#FF000000
